id,y
0.0,71.0
1.0,73.0
2.0,66.0
3.0,55.0
4.0,67.0
5.0,75.0
6.0,67.0
7.0,87.0
8.0,70.0
9.0,65.0
10.0,69.0
11.0,68.0
12.0,72.0
13.0,87.0
14.0,52.0
15.0,85.0
16.0,72.0
17.0,87.0
18.0,68.0
19.0,85.0
20.0,71.0
21.0,62.0
22.0,81.0
23.0,68.0
24.0,61.0
25.0,75.0
26.0,77.0
27.0,74.0
28.0,69.0
29.0,78.0
30.0,67.0
31.0,77.0
32.0,76.0
33.0,81.0
34.0,69.0
35.0,67.0
36.0,82.0
37.0,72.0
38.0,57.0
39.0,46.0
40.0,83.0
41.0,53.0
42.0,74.0
43.0,85.0
44.0,70.0
45.0,73.0
46.0,83.0
47.0,58.0
48.0,77.0
49.0,77.0
50.0,71.0
51.0,58.0
52.0,75.0
53.0,75.0
54.0,59.0
55.0,80.0
56.0,55.0
57.0,67.0
58.0,78.0
59.0,68.0
60.0,71.0
61.0,69.0
62.0,72.0
63.0,72.0
64.0,79.0
65.0,70.0
66.0,76.0
67.0,70.0
68.0,65.0
69.0,63.0
70.0,86.0
71.0,80.0
72.0,80.0
73.0,60.0
74.0,69.0
75.0,74.0
76.0,79.0
77.0,67.0
78.0,71.0
79.0,68.0
80.0,89.0
81.0,86.0
82.0,56.0
83.0,71.0
84.0,55.0
85.0,54.0
86.0,76.0
87.0,63.0
88.0,73.0
89.0,81.0
90.0,74.0
91.0,64.0
92.0,72.0
93.0,62.0
94.0,53.0
95.0,77.0
96.0,81.0
97.0,84.0
98.0,72.0
99.0,77.0
100.0,82.0
101.0,73.0
102.0,72.0
103.0,70.0
104.0,84.0
105.0,74.0
106.0,70.0
107.0,71.0
108.0,67.0
109.0,78.0
110.0,64.0
111.0,80.0
112.0,70.0
113.0,90.0
114.0,65.0
115.0,69.0
116.0,74.0
117.0,55.0
118.0,46.0
119.0,69.0
120.0,63.0
121.0,80.0
122.0,71.0
123.0,73.0
124.0,75.0
125.0,67.0
126.0,62.0
127.0,67.0
128.0,73.0
129.0,67.0
130.0,75.0
131.0,79.0
132.0,63.0
133.0,74.0
134.0,57.0
135.0,78.0
136.0,71.0
137.0,79.0
138.0,56.0
139.0,69.0
140.0,80.0
141.0,65.0
142.0,51.0
143.0,47.0
144.0,82.0
145.0,89.0
146.0,69.0
147.0,63.0
148.0,55.0
149.0,77.0
150.0,63.0
151.0,63.0
152.0,79.0
153.0,63.0
154.0,72.0
155.0,70.0
156.0,69.0
157.0,76.0
158.0,87.0
159.0,65.0
160.0,65.0
161.0,69.0
162.0,75.0
163.0,66.0
164.0,65.0
165.0,67.0
166.0,73.0
167.0,85.0
168.0,49.0
169.0,68.0
170.0,49.0
171.0,71.0
172.0,83.0
173.0,76.0
174.0,71.0
175.0,87.0
176.0,67.0
177.0,61.0
178.0,95.0
179.0,64.0
180.0,78.0
181.0,79.0
182.0,72.0
183.0,57.0
184.0,70.0
185.0,70.0
186.0,67.0
187.0,75.0
188.0,74.0
189.0,79.0
190.0,63.0
191.0,73.0
192.0,74.0
193.0,63.0
194.0,86.0
195.0,78.0
196.0,46.0
197.0,71.0
198.0,61.0
199.0,54.0
200.0,74.0
201.0,60.0
202.0,76.0
203.0,64.0
204.0,55.0
205.0,51.0
206.0,77.0
207.0,75.0
208.0,81.0
209.0,69.0
210.0,63.0
211.0,74.0
212.0,75.0
213.0,71.0
214.0,48.0
215.0,87.0
216.0,70.0
217.0,67.0
218.0,78.0
219.0,62.0
220.0,61.0
221.0,83.0
222.0,73.0
223.0,68.0
224.0,55.0
225.0,74.0
226.0,82.0
227.0,65.0
228.0,71.0
229.0,63.0
230.0,67.0
231.0,78.0
232.0,82.0
233.0,66.0
234.0,57.0
235.0,66.0
236.0,79.0
237.0,51.0
238.0,63.0
239.0,76.0
240.0,67.0
241.0,52.0
242.0,69.0
243.0,71.0
244.0,71.0
245.0,68.0
246.0,58.0
247.0,69.0
248.0,78.0
249.0,69.0
250.0,87.0
251.0,70.0
252.0,75.0
253.0,68.0
254.0,73.0
255.0,75.0
256.0,67.0
257.0,79.0
258.0,73.0
259.0,69.0
260.0,71.0
261.0,69.0
262.0,75.0
263.0,86.0
264.0,57.0
265.0,69.0
266.0,65.0
267.0,66.0
268.0,71.0
269.0,81.0
270.0,68.0
271.0,59.0
272.0,53.0
273.0,57.0
274.0,79.0
275.0,65.0
276.0,70.0
277.0,67.0
278.0,72.0
279.0,75.0
280.0,72.0
281.0,77.0
282.0,66.0
283.0,49.0
284.0,55.0
285.0,65.0
286.0,74.0
287.0,72.0
288.0,95.0
289.0,49.0
290.0,71.0
291.0,75.0
292.0,66.0
293.0,53.0
294.0,76.0
295.0,72.0
296.0,42.0
297.0,81.0
298.0,84.0
299.0,49.0
300.0,74.0
301.0,71.0
302.0,66.0
303.0,70.0
304.0,70.0
305.0,72.0
306.0,51.0
307.0,69.0
308.0,78.0
309.0,77.0
310.0,67.0
311.0,70.0
312.0,67.0
313.0,70.0
314.0,50.0
315.0,86.0
316.0,73.0
317.0,66.0
318.0,80.0
319.0,70.0
320.0,73.0
321.0,66.0
322.0,46.0
323.0,44.0
324.0,56.0
325.0,71.0
326.0,70.0
327.0,79.0
328.0,66.0
329.0,45.0
330.0,48.0
331.0,61.0
332.0,78.0
333.0,58.0
334.0,75.0
335.0,73.0
336.0,71.0
337.0,62.0
338.0,52.0
339.0,75.0
340.0,86.0
341.0,56.0
342.0,67.0
343.0,74.0
344.0,49.0
345.0,76.0
346.0,65.0
347.0,83.0
348.0,70.0
349.0,77.0
